entity_id,entity_type,fiware_servicepath,irms1,pap1,time_index,vrms1
wibee-14004-01,Energy,/rabanales,2.97,673.57,1573809439000,227.16
wibee-14004-01,Energy,/rabanales,9.62,2166.5,1573802237000,225.14
wibee-14004-01,Energy,/rabanales,1.18,266.78,1573804938000,226.29
wibee-14004-01,Energy,/rabanales,1.12,252.67,1573807639000,226.17
wibee-14004-01,Energy,/rabanales,1.21,274.02,1573811540000,227.15
wibee-14004-01,Energy,/rabanales,6.68,1525.07,1573825945000,228.3
wibee-14004-01,Energy,/rabanales,1.18,270.21,1573821743000,228.44
wibee-14004-01,Energy,/rabanales,1.18,268.94,1573822644000,228.39
wibee-14004-01,Energy,/rabanales,1.17,268.01,1573823244000,228.96
wibee-14004-01,Energy,/rabanales,1.17,267.89,1573823544000,228.62
wibee-14004-01,Energy,/rabanales,1.17,268.38,1573824744000,228.87
wibee-14004-01,Energy,/rabanales,1.24,284.53,1573828645000,229.35
wibee-14004-01,Energy,/rabanales,1.19,273.39,1573823844000,228.8
wibee-14004-01,Energy,/rabanales,9.98,2274.19,1573825344000,227.89
wibee-14004-01,Energy,/rabanales,7.22,1655.79,1573830146000,229.2
wibee-14004-01,Energy,/rabanales,1.59,364.95,1573831646000,228.86
wibee-14004-01,Energy,/rabanales,1.2,275.82,1573828946000,229.31
wibee-14004-01,Energy,/rabanales,1.21,278.18,1573830746000,229.51
wibee-14004-01,Energy,/rabanales,1.58,360.25,1573833147000,228.6
wibee-14004-01,Energy,/rabanales,1.21,275.31,1573834647000,227.91
wibee-14004-01,Energy,/rabanales,1.23,280.51,1573835848000,228.49
wibee-14004-01,Energy,/rabanales,1.18,271.4,1573829246000,229.48
wibee-14004-01,Energy,/rabanales,0.94,214.65,1573833747000,229.4
wibee-14004-01,Energy,/rabanales,1.44,329.16,1573836748000,228.89
wibee-14004-01,Energy,/rabanales,1.2,273.81,1573837948000,227.48
wibee-14004-01,Energy,/rabanales,1.24,282.34,1573840349000,227.24
wibee-14004-01,Energy,/rabanales,1.21,275.49,1573840649000,227.65
wibee-14004-01,Energy,/rabanales,1.2,273.33,1573842150000,227.92
wibee-14004-01,Energy,/rabanales,1.23,280.48,1573844851000,227.41
wibee-14004-01,Energy,/rabanales,1.2,273.17,1573845151000,227.42
wibee-14004-01,Energy,/rabanales,1.21,276.65,1573846351000,227.87
wibee-14004-01,Energy,/rabanales,1.23,280.2,1573848752000,227.84
wibee-14004-01,Energy,/rabanales,1.36,308.31,1573873960000,226.15
wibee-14004-01,Energy,/rabanales,1.38,312.35,1573874260000,227.01
wibee-14004-01,Energy,/rabanales,1.81,411.4,1573864056000,227.13
wibee-14004-01,Energy,/rabanales,1.83,416.66,1573865257000,227.8
wibee-14004-01,Energy,/rabanales,1.25,283.12,1573870659000,225.76
wibee-14004-01,Energy,/rabanales,1.18,267.63,1573871259000,226.06
wibee-14004-01,Energy,/rabanales,1.28,289.81,1573873359000,226.86
wibee-14004-01,Energy,/rabanales,1.66,383.8,1573862256000,230.6
wibee-14004-01,Energy,/rabanales,1.25,283.35,1573873059000,226.8
wibee-14004-01,Energy,/rabanales,1.21,272.89,1573885363000,225.28
wibee-14004-01,Energy,/rabanales,1.18,265.96,1573885963000,225.04
wibee-14004-01,Energy,/rabanales,1.21,271.49,1573886264000,224.63
wibee-14004-01,Energy,/rabanales,1.25,281.06,1573887764000,224.95
wibee-14004-01,Energy,/rabanales,1.22,273.53,1573888964000,223.68
wibee-14004-01,Energy,/rabanales,1.19,265.89,1573890465000,223.38
wibee-14004-01,Energy,/rabanales,1.27,282.88,1573891365000,222.83
